0: NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
142: AY559093.1 SARS coronavirus Sin845, complete genome
143: AY559087.1 SARS coronavirus Sin3725V, complete genome
144: AY559084.1 SARS coronavirus Sin3765V, complete genome
145: AY559086.1 SARS coronavirus Sin849, complete genome
146: AY559081.1 SARS coronavirus Sin842, complete genome
147: FJ882963.1 SARS coronavirus P2, complete genome
148: AY395004.1 SARS coronavirus HZS2-Bb, partial genome
149: AY394977.1 SARS coronavirus GZ-A, partial genome
150: AY304495.1 SARS coronavirus GZ50, complete genome
151: AY278488.2 SARS coronavirus BJ01, complete genome
152: AY485278.1 SARS coronavirus Sino3-11, complete genome
153: AY278491.2 SARS coronavirus HKU-39849, complete genome
154: AY357076.1 SARS coronavirus PUMC03, complete genome
155: AY357075.1 SARS coronavirus PUMC02, complete genome
156: AY395002.1 SARS coronavirus LC5, complete genome
157: AY395001.1 SARS coronavirus LC4, complete genome
158: AY395000.1 SARS coronavirus LC3, complete genome
159: AY394999.1 SARS coronavirus LC2, complete genome
160: AY286320.4 SARS coronavirus ZJ01, partial genome
161: DQ182595.1 SARS coronavirus ZJ0301 from China, complete genome
162: AY559092.1 SARS coronavirus SinP5, complete genome
163: AY559088.1 SARS coronavirus SinP1, complete genome
164: AY559091.1 SARS coronavirus SinP4, complete genome
165: AY502924.1 SARS coronavirus TW11, complete genome
166: AY485277.1 SARS coronavirus Sino1-11, complete genome
167: AY654624.1 SARS coronavirus TJF, complete genome
168: AY394850.2 SARS coronavirus WHU, complete genome
169: AY394978.1 SARS coronavirus GZ-B, complete genome
170: AY279354.2 SARS coronavirus BJ04, complete genome
171: AY508724.1 SARS coronavirus NS-1, complete genome
172: AY278487.3 SARS coronavirus BJ02, complete genome
173: AY278490.3 SARS coronavirus BJ03, complete genome
174: AY394995.1 SARS coronavirus HSZ-Cc, complete genome
175: AY394994.1 SARS coronavirus HSZ-Bc, complete genome
176: AY394985.1 SARS coronavirus HSZ-Bb, complete genome
177: AY394986.1 SARS coronavirus HSZ-Cb, complete genome
178: AY394984.1 SARS coronavirus HSZ-A, partial genome
179: AY461660.1 SARS coronavirus SoD, complete genome
180: AY559094.1 SARS coronavirus Sin846, complete genome
181: AY595412.1 SARS coronavirus LLJ-2004, complete genome
182: AY559082.1 SARS coronavirus Sin852, complete genome
183: AY313906.1 SARS coronavirus GD69, complete genome
184: KF514423.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P20/2009, complete genome
185: KF514422.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.3P20/2010, complete genome
186: KF514421.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.2P20/2010, complete genome
187: KF514419.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1P10/2009, complete genome
188: KF514418.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P1/2009, complete genome
189: KF514415.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.7P20/2010, complete genome
190: KF514413.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.6P20/2010, complete genome
191: KF514409.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c2P20/2009, complete genome
192: KF514408.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c2P1/2009, complete genome
193: KF514404.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.9P20/2010, complete genome
194: KF514400.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.8P20/2010, complete genome
195: KF514399.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.1P20/2010, complete genome
196: KF514398.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.10P20/2010, complete genome
197: KF514397.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c2P10/2009, complete genome
198: KF514396.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P10/2009, complete genome
199: KF514394.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1P20/2009, complete genome
200: KF514392.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.4P20/2010, complete genome
201: KF514388.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.5P20/2010, complete genome
202: FJ882938.1 SARS coronavirus wtic-MB, complete genome
203: FJ882927.1 SARS coronavirus wtic-MB isolate P1pp1, complete genome
204: KF514420.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5P10/2009, complete genome
205: KF514417.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.3P20/2010, complete genome
206: KF514416.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.8P20/2010, complete genome
207: KF514414.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5P20/2009, complete genome
208: KF514412.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c13P20/2009, complete genome
209: KF514411.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c13P10/2009, complete genome
210: KF514410.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c8P20/2009, complete genome
211: KF514406.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c13P1/2009, complete genome
212: KF514405.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.2P20/2010, complete genome
213: KF514403.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.1P20/2010, complete genome
214: KF514402.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.6P20/2010, complete genome
215: KF514401.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.5P20/2010, complete genome
216: KF514395.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c8P1/2009, complete genome
217: KF514393.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.10P20/2010, complete genome
218: KF514391.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.9P20/2010, complete genome
219: KF514390.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.4P20/2010, complete genome
220: KF514389.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c8P10/2009, complete genome
221: FJ882930.1 SARS coronavirus ExoN1, complete genome
222: FJ882926.1 SARS coronavirus ExoN1, complete genome
223: FJ882928.1 SARS coronavirus ExoN1 isolate P1pp1, complete genome
224: JF292921.1 SARS coronavirus wtic-MB isolate c1P1, complete genome
225: FJ882936.1 SARS coronavirus wtic-MB isolate P3pp2, complete genome
226: FJ882932.1 SARS coronavirus wtic-MB isolate P3pp14, complete genome
227: FJ882939.1 SARS coronavirus wtic-MB isolate P3pp16, complete genome
228: FJ882934.1 SARS coronavirus wtic-MB isolate P3pp29, complete genome
229: FJ882947.1 SARS coronavirus wtic-MB isolate P3pp7, complete genome
230: FJ882949.1 SARS coronavirus wtic-MB isolate P3pp23, complete genome
231: FJ882946.1 SARS coronavirus wtic-MB isolate P3pp13, complete genome
232: FJ882935.1 SARS coronavirus wtic-MB isolate P3pp21, complete genome
233: FJ882937.1 SARS coronavirus wtic-MB isolate P3pp18, complete genome
234: FJ882933.1 SARS coronavirus wtic-MB isolate P3pp6, complete genome
235: JF292920.1 SARS coronavirus MA15 isolate d3om5, complete genome
236: JF292919.1 SARS coronavirus MA15 isolate d3om4, complete genome
237: JF292918.1 SARS coronavirus MA15 isolate d3om3, complete genome
238: JF292917.1 SARS coronavirus MA15 isolate d3om2, complete genome
239: JF292916.1 SARS coronavirus MA15 isolate d3om1, complete genome
240: JF292912.1 SARS coronavirus MA15 isolate d4ym2, complete genome
241: JF292911.1 SARS coronavirus MA15 isolate d4ym1, complete genome
242: JF292908.1 SARS coronavirus MA15 isolate d2ym3, complete genome
243: JF292907.1 SARS coronavirus MA15 isolate d2ym2, complete genome
244: HQ890546.1 SARS coronavirus MA15 isolate d2om5, complete genome
245: HQ890545.1 SARS coronavirus MA15 isolate d2om4, complete genome
246: HQ890544.1 SARS coronavirus MA15 isolate d2om3, complete genome
247: HQ890543.1 SARS coronavirus MA15 isolate d2om2, complete genome
248: HQ890542.1 SARS coronavirus MA15 isolate d2om1, complete genome
249: HQ890541.1 SARS coronavirus MA15 isolate d2ym1, complete genome
250: JF292915.1 SARS coronavirus MA15 isolate d4ym5, complete genome
251: JF292914.1 SARS coronavirus MA15 isolate d4ym4, complete genome
252: JF292913.1 SARS coronavirus MA15 isolate d4ym3, complete genome
253: JF292910.1 SARS coronavirus MA15 isolate d2ym5, complete genome
254: JF292909.1 SARS coronavirus MA15 isolate d2ym4, complete genome
255: JF292906.1 SARS coronavirus MA15 ExoN1 isolate d3om5, complete genome
256: HQ890535.1 SARS coronavirus MA15 ExoN1 isolate d2om2, complete genome
257: JF292905.1 SARS coronavirus MA15 ExoN1 isolate d3om4, complete genome
258: HQ890540.1 SARS coronavirus MA15 ExoN1 isolate d3om2, complete genome
259: HQ890539.1 SARS coronavirus MA15 ExoN1 isolate d3om1, complete genome
260: HQ890538.1 SARS coronavirus MA15 ExoN1 isolate d2om5, complete genome
261: JF292902.1 SARS coronavirus MA15 ExoN1 isolate d4ym4, complete genome
262: HQ890537.1 SARS coronavirus MA15 ExoN1 isolate d2om4, complete genome
263: HQ890533.1 SARS coronavirus MA15 ExoN1 isolate d4ym3, complete genome
264: HQ890530.1 SARS coronavirus MA15 ExoN1 isolate d2ym5, complete genome
265: HQ890528.1 SARS coronavirus MA15 ExoN1 isolate d2ym3, complete genome
266: HQ890527.1 SARS coronavirus MA15 ExoN1 isolate d2ym2, complete genome
267: HQ890526.1 SARS coronavirus MA15 ExoN1 isolate d2ym1, complete genome
268: HQ890536.1 SARS coronavirus MA15 ExoN1 isolate d2om3, complete genome
269: HQ890534.1 SARS coronavirus MA15 ExoN1 isolate d2om1, complete genome
270: HQ890529.1 SARS coronavirus MA15 ExoN1 isolate d2ym4, complete genome
271: JF292904.1 SARS coronavirus MA15 ExoN1 isolate d3om3, complete genome
272: HQ890531.1 SARS coronavirus MA15 ExoN1 isolate d4ym1, complete genome
273: JF292903.1 SARS coronavirus MA15 ExoN1 isolate d4ym5, complete genome
274: HQ890532.1 SARS coronavirus MA15 ExoN1 isolate d4ym2, complete genome
275: FJ882961.1 SARS coronavirus MA15 isolate P3pp5, complete genome
276: FJ882958.1 SARS coronavirus MA15 isolate P3pp7, complete genome
277: FJ882952.1 SARS coronavirus MA15 isolate P3pp4, complete genome
278: FJ882945.1 SARS coronavirus MA15 isolate P3pp6, complete genome
279: FJ882948.1 SARS coronavirus MA15 isolate P3pp3, complete genome
280: FJ882957.1 SARS coronavirus MA15, complete genome
281: FJ882943.1 SARS coronavirus MA15 ExoN1, complete genome
282: FJ882953.1 SARS coronavirus MA15 ExoN1 isolate P3pp4, complete genome
283: FJ882960.1 SARS coronavirus ExoN1 isolate P3pp34, complete genome
284: FJ882955.1 SARS coronavirus ExoN1 isolate P3pp19, complete genome
285: FJ882950.1 SARS coronavirus ExoN1 isolate P3pp60, complete genome
286: FJ882940.1 SARS coronavirus ExoN1 isolate P3pp37, complete genome
287: FJ882931.1 SARS coronavirus ExoN1 isolate P3pp12, complete genome
288: FJ882956.1 SARS coronavirus ExoN1 isolate P3pp53, complete genome
289: FJ882944.1 SARS coronavirus ExoN1 isolate P3pp23, complete genome
290: FJ882954.1 SARS coronavirus ExoN1 isolate P3pp46, complete genome
291: FJ882929.1 SARS coronavirus ExoN1 isolate P3pp1, complete genome
292: FJ882941.1 SARS coronavirus ExoN1 isolate P3pp8, complete genome
293: FJ882962.1 SARS coronavirus MA15 ExoN1 isolate P3pp10, complete genome
294: FJ882951.1 SARS coronavirus MA15 ExoN1 isolate P3pp3, complete genome
295: FJ882942.1 SARS coronavirus MA15 ExoN1 isolate P3pp5, complete genome
296: FJ882959.1 SARS coronavirus MA15 ExoN1 isolate P3pp6, complete genome
297: KF514407.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.7P20/2010, complete genome
298: JF292922.1 SARS coronavirus ExoN1 isolate c5P1, complete genome
299: JX162087.1 SARS coronavirus ExoN1 isolate c5P10, complete genome
300: MK062182.1 SARS coronavirus Urbani isolate icSARS-C3-MA, complete genome
301: MK062181.1 SARS coronavirus Urbani isolate icSARS-C3, complete genome
302: EU371564.1 SARS coronavirus BJ182-12, complete genome
303: EU371563.1 SARS coronavirus BJ182-8, complete genome
304: EU371561.1 SARS coronavirus BJ182b, complete genome
305: EU371560.1 SARS coronavirus BJ182a, complete genome
306: EU371562.1 SARS coronavirus BJ182-4, complete genome
307: AY559097.1 SARS coronavirus Sin3408L, complete genome
308: DQ640652.1 SARS coronavirus GDH-BJH01, complete genome
309: AY395003.1 SARS coronavirus ZS-C, complete genome
310: AY394997.1 SARS coronavirus ZS-A, complete genome
311: AY394996.1 SARS coronavirus ZS-B, complete genome
312: AY394988.1 SARS coronavirus JMD, partial genome
313: AY463060.1 SARS coronavirus ShanghaiQXC2, complete genome
314: AY463059.1 SARS coronavirus ShanghaiQXC1, complete genome
315: AY394979.1 SARS coronavirus GZ-C, complete genome
316: AY394980.1 SARS coronavirus GZ-D, partial genome
317: AY559090.1 SARS coronavirus SinP3, complete genome
318: AH013709.2 SARS coronavirus Sin_WNV, partial sequence
319: AY772062.1 SARS coronavirus WH20, complete genome
320: FJ959407.1 SARS coronavirus isolate A001, complete genome
321: AY686864.1 SARS coronavirus B039, complete genome
322: AY686863.1 SARS coronavirus A022, complete genome
323: AY545914.1 SARS coronavirus isolate HC/SZ/79/03, complete genome
324: AY572035.1 SARS coronavirus civet010, complete genome
325: AY572034.1 SARS coronavirus civet007, complete genome
326: AY515512.1 SARS coronavirus HC/SZ/61/03, complete genome
327: AY572038.1 SARS coronavirus civet020, complete genome
328: AY545918.1 SARS coronavirus isolate HC/GZ/32/03, complete genome
329: AY545916.1 SARS coronavirus isolate HC/SZ/266/03, complete genome
330: AY545915.1 SARS coronavirus isolate HC/SZ/DM1/03, complete genome
331: AY545919.1 SARS coronavirus isolate CFB/SZ/94/03, complete genome
332: AY545917.1 SARS coronavirus isolate HC/GZ/81/03, complete genome
333: AY613950.1 SARS coronavirus PC4-227, complete genome
334: AY613949.1 SARS coronavirus PC4-136, complete genome
335: AY613948.1 SARS coronavirus PC4-13, complete genome
336: AY613947.1 SARS coronavirus GZ0402, complete genome
337: AY568539.1 SARS coronavirus GZ0401, complete genome
338: AY297028.1 SARS coronavirus ZJ01, complete genome
339: AY559083.1 SARS coronavirus Sin3408, complete genome
340: AH013708.2 SARS coronavirus Sin0409, partial sequence
341: MK062184.1 SARS coronavirus Urbani isolate icSARS-C7-MA, complete genome
342: MK062183.1 SARS coronavirus Urbani isolate icSARS-C7, complete genome
343: AY559089.1 SARS coronavirus SinP2, complete genome
344: AB257344.1 SARS coronavirus Frankfurt 1 genomic RNA, nearly complete genome, clone: persistent virus #21
345: AY351680.1 SARS coronavirus ZMY 1, complete genome
346: MT308984.1 Mutant SARS coronavirus Urbani clone SARS-Urbani-MA_SHC014-spike, complete genome
347: OK017857.1 Sarbecovirus sp. isolate YN2020G, complete genome
348: OK017856.1 Sarbecovirus sp. isolate YN2020F, complete genome
349: OK017855.1 Sarbecovirus sp. isolate YN2020E, complete genome
350: OK017853.1 Sarbecovirus sp. isolate YN2020C, complete genome
351: OK017854.1 Sarbecovirus sp. isolate YN2020D, complete genome
352: OK017852.1 Sarbecovirus sp. isolate YN2020B, complete genome
353: OQ503499.1 Severe acute respiratory syndrome-related coronavirus isolate RsHB190371, complete genome
354: OQ503498.1 Severe acute respiratory syndrome-related coronavirus isolate BDA190366, complete genome
355: OK017801.1 Sarbecovirus sp. isolate HB2020D, complete genome
356: OK017836.1 Sarbecovirus sp. isolate JX2021AC, complete genome
357: OK017802.1 Sarbecovirus sp. isolate HB2020E, complete genome
358: OK017837.1 Sarbecovirus sp. isolate JX2021C, complete genome
359: OK017845.1 Sarbecovirus sp. isolate JX2021P, complete genome
360: OK017844.1 Sarbecovirus sp. isolate JX2021O, complete genome
361: OK017839.1 Sarbecovirus sp. isolate JX2021J, complete genome
362: OK017840.1 Sarbecovirus sp. isolate JX2021K, complete genome
363: OK017838.1 Sarbecovirus sp. isolate JX2021G, complete genome
364: OK017811.1 Sarbecovirus sp. isolate FJ2021M, complete genome
365: OK017810.1 Sarbecovirus sp. isolate FJ2021E, complete genome
366: OK017809.1 Sarbecovirus sp. isolate FJ2021D, complete genome
367: MT782115.1 Mutant Bat SARS coronavirus HKU3 isolate icHKU3-SRBD-MA, complete genome
368: MT782114.1 Mutant Bat SARS coronavirus HKU3 isolate icHKU3-SRBD, complete genome
369: DQ022305.2 Bat SARS coronavirus HKU3-1, complete genome
370: DQ084200.1 bat SARS coronavirus HKU3-3, complete genome
371: DQ084199.1 bat SARS coronavirus HKU3-2, complete genome
372: GQ153541.1 Bat SARS coronavirus HKU3-6, complete genome
373: GQ153539.1 Bat SARS coronavirus HKU3-4, complete genome
